Form Name,URL,Opened Status,Submission Status
apply-form,https://vaultlister.com/compare/flyp.html,Success,Failed
apply-form,https://vaultlister.com/faq.html,Success,Failed
apply-form,https://vaultlister.com/request-feature.html,Success,Failed
apply-form,https://vaultlister.com/contact.html,Success,Failed
apply-form,https://vaultlister.com/status.html,Success,Failed
apply-form,https://vaultlister.com/roadmap-public.html,Success,Failed
apply-form,https://vaultlister.com/platforms.html,Success,Failed
apply-form,https://vaultlister.com/changelog.html,Success,Failed
apply-form,https://vaultlister.com/compare/crosslist.html,Success,Failed
apply-form,https://vaultlister.com/learning.html,Success,Failed
apply-form,https://vaultlister.com/documentation.html,Success,Failed
apply-form,https://vaultlister.com/affiliate.html,Success,Failed
contact-form,https://vaultlister.com/help/getting-started.html,Success,Success
contact-form,https://vaultlister.com/faq.html,Success,Success
contact-form,https://vaultlister.com/contact.html,Success,Success
contact-form,https://vaultlister.com/roadmap-public.html,Success,Success
contact-form,https://vaultlister.com/documentation.html,Success,Success
contact-form,https://vaultlister.com/documentation.html#ai-info,Success,Success
contact-form,https://vaultlister.com/documentation.html#media-kit,Success,Success
contact-form,https://vaultlister.com/help.html,Success,Success
fr-form,https://vaultlister.com/request-feature.html,Success,Failed
register-form,https://vaultlister.com/compare/flyp.html,Success,Failed
register-form,https://vaultlister.com/faq.html,Success,Failed
register-form,https://vaultlister.com/request-feature.html,Success,Failed
register-form,https://vaultlister.com/contact.html,Success,Failed
register-form,https://vaultlister.com/?app=1#register,Success,Failed
register-form,https://vaultlister.com/status.html,Success,Failed
register-form,https://vaultlister.com/roadmap-public.html,Success,Failed
register-form,https://vaultlister.com/platforms.html,Success,Failed
register-form,https://vaultlister.com/compare/crosslist.html,Success,Failed
register-form,https://vaultlister.com/pricing.html,Success,Failed
subscribe-form,https://vaultlister.com/compare/flyp.html,Success,Success
subscribe-form,https://vaultlister.com/compare/list-perfectly.html,Success,Success
subscribe-form,https://vaultlister.com/compare/nifty.html,Success,Success
subscribe-form,https://vaultlister.com/compare/oneshop.html,Success,Success
subscribe-form,https://vaultlister.com/compare/primelister.html,Success,Success
subscribe-form,https://vaultlister.com/compare/selleraider.html,Success,Success
subscribe-form,https://vaultlister.com/compare/vendoo.html,Success,Success
subscribe-form,https://vaultlister.com/help/getting-started.html,Success,Success
subscribe-form,https://vaultlister.com/faq.html,Success,Success
subscribe-form,https://vaultlister.com/help/inventory-management.html,Success,Success
subscribe-form,https://vaultlister.com/request-feature.html,Success,Success
subscribe-form,https://vaultlister.com/help/cross-listing.html,Success,Success
subscribe-form,https://vaultlister.com/help/automations.html,Success,Success
subscribe-form,https://vaultlister.com/status.html,Success,Success
subscribe-form,https://vaultlister.com/help/troubleshooting.html,Success,Success
subscribe-form,https://vaultlister.com/roadmap-public.html,Success,Success
subscribe-form,https://vaultlister.com/platforms.html,Success,Success
subscribe-form,https://vaultlister.com/changelog.html,Success,Success
subscribe-form,https://vaultlister.com/learning.html,Success,Success
subscribe-form,https://vaultlister.com/documentation.html,Success,Success
