Error Type,Page/Resource,Parent Page,Error Code,HTML Snippet,CSS Selector
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/compare/list-perfectly.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/request-feature.html,No response,,
Broken Link,https://www.facebook.com/profile.php?id=61570865723233,https://vaultlister.com/request-feature.html,No response,,
Broken Link,https://x.com/VaultListerCo,https://vaultlister.com/request-feature.html,No response,,
Broken Link,https://www.tiktok.com/@vaultlister.co,https://vaultlister.com/request-feature.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/compare/nifty.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/contact.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/compare/primelister.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/roadmap-public.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/compare/selleraider.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/compare/vendoo.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/changelog.html,No response,,
Broken Link,https://www.facebook.com/profile.php?id=61570865723233,https://vaultlister.com/changelog.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/compare/crosslist.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/compare/closo.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/compare/crosslist-magic.html,No response,,
Broken Link,https://www.instagram.com/vaultlister.co/,https://vaultlister.com/pricing.html,No response,,
