file,prefix,label_line,rule,label_text,input_line,existing_id,new_id
src/frontend/handlers/handlers-sales-orders.js,hso,143,1,Custom Response (optional),144,decline-custom-message,
src/frontend/handlers/handlers-sales-orders.js,hso,579,2,Type,580,,hso-type
src/frontend/handlers/handlers-sales-orders.js,hso,588,2,Amount,589,,hso-amount
src/frontend/handlers/handlers-sales-orders.js,hso,593,2,Description,594,,hso-description
src/frontend/handlers/handlers-sales-orders.js,hso,597,2,Date,598,,hso-date
src/frontend/handlers/handlers-sales-orders.js,hso,601,2,Category,602,,hso-category
src/frontend/handlers/handlers-sales-orders.js,hso,1094,1,Description,1095,recurring-desc,
src/frontend/handlers/handlers-sales-orders.js,hso,1098,1,Amount,1099,recurring-amount,
src/frontend/handlers/handlers-sales-orders.js,hso,1102,1,Account,1103,recurring-account,
src/frontend/handlers/handlers-sales-orders.js,hso,1108,1,Category,1109,recurring-category,
src/frontend/handlers/handlers-sales-orders.js,hso,1118,1,Frequency,1119,recurring-frequency,
src/frontend/handlers/handlers-sales-orders.js,hso,1194,1,Select receipt image (max 2MB),1195,receipt-file-input,
src/frontend/handlers/handlers-sales-orders.js,hso,1211,1,Or enter receipt URL,1212,receipt-url-input,
src/frontend/handlers/handlers-sales-orders.js,hso,1409,1,Monthly Expense Budget,1410,monthly-budget-input,
src/frontend/handlers/handlers-sales-orders.js,hso,1413,1,Budget Alert Threshold,1414,budget-alert-threshold,
src/frontend/handlers/handlers-sales-orders.js,hso,1460,2,Monthly Revenue Goal,1461,,hso-monthly-revenue-goal
src/frontend/handlers/handlers-sales-orders.js,hso,1464,2,Monthly Sales Goal,1465,,hso-monthly-sales-goal
src/frontend/handlers/handlers-sales-orders.js,hso,1468,2,Target Profit Margin (%),1469,,hso-target-profit-margin
src/frontend/handlers/handlers-sales-orders.js,hso,1990,3,Reminder Type,,,
src/frontend/handlers/handlers-sales-orders.js,hso,2007,1,Reminder Date,2014,followup-date,
src/frontend/handlers/handlers-sales-orders.js,hso,2019,1,Message Template (optional),2020,followup-message,
src/frontend/handlers/handlers-sales-orders.js,hso,2207,1,Description,2208,expense-description,
src/frontend/handlers/handlers-sales-orders.js,hso,2211,1,Amount ($),2212,expense-amount,
src/frontend/handlers/handlers-sales-orders.js,hso,2217,1,Category,2218,expense-category,
src/frontend/handlers/handlers-sales-orders.js,hso,2223,1,Date,2224,expense-date,
src/frontend/handlers/handlers-sales-orders.js,hso,2857,2,Return Reason *,2858,,hso-return-reason
src/frontend/handlers/handlers-sales-orders.js,hso,2868,2,Refund Amount,2869,,hso-refund-amount
src/frontend/handlers/handlers-sales-orders.js,hso,2872,2,Return Tracking # (optional),2873,,hso-return-tracking-optional
src/frontend/handlers/handlers-sales-orders.js,hso,2958,1,Priority Note (optional),2959,priority-note,
src/frontend/handlers/handlers-sales-orders.js,hso,3005,1,Number of shipments,3006,split-count,
src/frontend/handlers/handlers-sales-orders.js,hso,4247,1,Carrier,4248,bulk-label-carrier,
src/frontend/handlers/handlers-sales-orders.js,hso,4257,1,Service Level,4258,bulk-label-service,
src/frontend/handlers/handlers-sales-orders.js,hso,4267,1,Package Type,4268,bulk-label-package,
src/frontend/handlers/handlers-sales-orders.js,hso,4387,2,Goal Name *,4388,,hso-goal-name
src/frontend/handlers/handlers-sales-orders.js,hso,4391,2,Category,4392,,hso-category-2
src/frontend/handlers/handlers-sales-orders.js,hso,4402,2,Target Amount ($) *,4403,,hso-target-amount
src/frontend/handlers/handlers-sales-orders.js,hso,4406,2,Current Amount ($),4407,,hso-current-amount
src/frontend/handlers/handlers-sales-orders.js,hso,4411,2,Deadline,4412,,hso-deadline
src/frontend/handlers/handlers-sales-orders.js,hso,4449,1,Bank Statement Balance ($),4450,reconcile-bank-balance,
src/frontend/handlers/handlers-sales-orders.js,hso,4453,1,Statement Date,4454,reconcile-date,
src/frontend/handlers/handlers-sales-orders.js,hso,4589,1,Select CSV File,4590,purchase-csv-input,
src/frontend/handlers/handlers-sales-orders.js,hso,4609,1,Select Excel File,4610,purchase-excel-input,
src/frontend/handlers/handlers-sales-orders.js,hso,4724,2,Vendor Name *,4725,,hso-vendor-name
src/frontend/handlers/handlers-sales-orders.js,hso,4728,2,Purchase Date *,4729,,hso-purchase-date
src/frontend/handlers/handlers-sales-orders.js,hso,4733,2,Payment Method,4734,,hso-payment-method
src/frontend/handlers/handlers-sales-orders.js,hso,4748,2,Description *,4749,,hso-description-2
src/frontend/handlers/handlers-sales-orders.js,hso,4752,2,Link to Inventory,4753,,hso-link-to-inventory
src/frontend/handlers/handlers-sales-orders.js,hso,4759,2,Qty *,4760,,hso-qty
src/frontend/handlers/handlers-sales-orders.js,hso,4763,2,Unit Cost *,4764,,hso-unit-cost
src/frontend/handlers/handlers-sales-orders.js,hso,4771,2,Shipping Cost,4772,,hso-shipping-cost
src/frontend/handlers/handlers-sales-orders.js,hso,4775,2,Notes,4776,,hso-notes
src/frontend/handlers/handlers-sales-orders.js,hso,4966,2,Pattern *,4967,,hso-pattern
src/frontend/handlers/handlers-sales-orders.js,hso,4971,2,Assign to Account *,4972,,hso-assign-to-account
src/frontend/handlers/handlers-sales-orders.js,hso,4979,2,Description,4980,,hso-description-3
src/frontend/handlers/handlers-sales-orders.js,hso,5106,2,Account Type *,5107,,hso-account-type
src/frontend/handlers/handlers-sales-orders.js,hso,5112,2,Account Name *,5113,,hso-account-name
src/frontend/handlers/handlers-sales-orders.js,hso,5116,2,Description,5117,,hso-description-4
src/frontend/handlers/handlers-sales-orders.js,hso,5121,2,Initial Balance,5122,,hso-initial-balance
src/frontend/handlers/handlers-sales-orders.js,hso,5125,2,As of Date,5126,,hso-as-of-date
src/frontend/handlers/handlers-sales-orders.js,hso,5886,1,Select CSV File,5887,bank-csv-file,
src/frontend/handlers/handlers-sales-orders.js,hso,5894,1,Date Column,5895,bank-col-date,
src/frontend/handlers/handlers-sales-orders.js,hso,5898,1,Description Column,5899,bank-col-desc,
src/frontend/handlers/handlers-sales-orders.js,hso,5902,1,Amount Column,5903,bank-col-amount,
src/frontend/handlers/handlers-sales-orders.js,hso,6050,2,Vendor/Store *,6051,,hso-vendorstore
src/frontend/handlers/handlers-sales-orders.js,hso,6054,2,Purchase Date *,6055,,hso-purchase-date-2
src/frontend/handlers/handlers-sales-orders.js,hso,6060,2,Item Description,6061,,hso-item-description
src/frontend/handlers/handlers-sales-orders.js,hso,6066,2,Amount *,6067,,hso-amount-2
src/frontend/handlers/handlers-sales-orders.js,hso,6070,2,Quantity,6071,,hso-quantity
src/frontend/handlers/handlers-sales-orders.js,hso,6077,2,Category,6078,,hso-category-3
src/frontend/handlers/handlers-sales-orders.js,hso,6088,2,Payment Method,6089,,hso-payment-method-2
src/frontend/handlers/handlers-sales-orders.js,hso,6100,2,Notes,6101,,hso-notes-2
src/frontend/handlers/handlers-sales-orders.js,hso,6152,3,Select Tags,,,
src/frontend/handlers/handlers-sales-orders.js,hso,6171,1,Add Custom Tag,6173,new-custom-tag,
src/frontend/handlers/handlers-sales-orders.js,hso,6284,1,Carrier *,6285,sl-carrier,
src/frontend/handlers/handlers-sales-orders.js,hso,6293,1,Service,6294,sl-service,
src/frontend/handlers/handlers-sales-orders.js,hso,6299,1,Weight (oz),6299,sl-weight,
src/frontend/handlers/handlers-sales-orders.js,hso,6300,1,Length (in),6300,sl-length,
src/frontend/handlers/handlers-sales-orders.js,hso,6301,1,Width (in),6301,sl-width,
src/frontend/handlers/handlers-sales-orders.js,hso,6302,1,Height (in),6302,sl-height,
src/frontend/handlers/handlers-sales-orders.js,hso,6317,1,Name *,6317,sl-from-name,
src/frontend/handlers/handlers-sales-orders.js,hso,6318,1,Street *,6318,sl-from-street1,
src/frontend/handlers/handlers-sales-orders.js,hso,6319,1,City *,6319,sl-from-city,
src/frontend/handlers/handlers-sales-orders.js,hso,6321,1,State *,6321,sl-from-state,
src/frontend/handlers/handlers-sales-orders.js,hso,6323,1,ZIP *,6323,sl-from-zip,
src/frontend/handlers/handlers-sales-orders.js,hso,6329,1,Name *,6329,sl-to-name,
src/frontend/handlers/handlers-sales-orders.js,hso,6330,1,Street *,6330,sl-to-street1,
src/frontend/handlers/handlers-sales-orders.js,hso,6331,1,City *,6331,sl-to-city,
src/frontend/handlers/handlers-sales-orders.js,hso,6332,1,State *,6332,sl-to-state,
src/frontend/handlers/handlers-sales-orders.js,hso,6333,1,ZIP *,6333,sl-to-zip,
src/frontend/handlers/handlers-sales-orders.js,hso,6334,1,Email,6334,sl-to-email,
src/frontend/handlers/handlers-sales-orders.js,hso,6396,1,Weight (oz) *,6396,rs-weight,
src/frontend/handlers/handlers-sales-orders.js,hso,6397,1,From ZIP *,6397,rs-from-zip,
src/frontend/handlers/handlers-sales-orders.js,hso,6398,1,To ZIP *,6398,rs-to-zip,
src/frontend/handlers/handlers-sales-orders.js,hso,6555,1,Name *,6555,ra-name,
src/frontend/handlers/handlers-sales-orders.js,hso,6556,1,Company,6556,ra-company,
src/frontend/handlers/handlers-sales-orders.js,hso,6557,1,Street *,6557,ra-street1,
src/frontend/handlers/handlers-sales-orders.js,hso,6558,1,Street 2,6558,ra-street2,
src/frontend/handlers/handlers-sales-orders.js,hso,6560,1,City *,6560,ra-city,
